Latitude,Longitude,Region, Name,Rx,Shift,Tx,Tone,Type,Callsign,Address,Note
38.0779677,128.1696703,강원도,인제 기룡산,431.68,0,431.68,88.5,지역망,6N∅JD,"강원 인제군 인제읍 상동리 14-1, 기룡산",
37.3689089,127.9400253,강원도,원주시,433.84,0,433.84,88.5,유무선망,D7∅JL,강원 원주시 우산동 86,
37.170592,128.947457,강원도,오투리조트,144.62,0,144.62,88.5,지역망,6N∅KX,"강원 태백시 서학로 861, 오투리조트 정상",
37.170592,128.947457,강원도,오투리조트,431.64,0,431.64,88.5,지역망,6N∅KX,"강원 태백시 서학로 861, 오투리조트 정상",
37.2385023,129.0458613,강원도,삼척시 도계읍,433.88,0,433.88,88.5,유무선망,D7∅JT,강원 삼척시 도계읍 도계로 324-1,
37.6871367,128.7605707,강원도,산림청철탑,439.12,-5,434.12,88.5,본부망,D7∅JX,"강원 평창군 대관련마루길 527-1, (산림청철탑)",
37.3465024,127.9142311,강원도,봉화산,144.7,0,144.7,88.5,본부망,6N∅KN,"강원 원주시 호저면 만종리 산50, 봉화산",
37.2020238,128.4904169,강원도,봉래산,144.8,0,144.8,88.5,본부망,6M∅JR,"강원 영월군 영월읍 천문대길 397, 봉래산",
37.2020238,128.4904169,강원도,봉래산,439.08,0,439.08,88.5,본부망,6M∅JR,"강원 영월군 영월읍 천문대길 397, 봉래산",
37.2020238,128.4904169,강원도,봉래산,439.2,-5,434.2,88.5,지역망,6M∅JR,"강원 영월군 영월읍 천문대길 397, 봉래산",
37.2020238,128.4904169,강원도,봉래산,144.58,0,144.58,88.5,지역망,6M∅JR,"강원 영월군 영월읍 천문대길 397, 봉래산",
37.3634603,128.6347732,강원도,병방산,144.58,0,144.58,88.5,지역망,6N∅K,"강원 정선군 병방치길 376-30, 병방산",
37.3634603,128.6347732,강원도,병방산,431.58,0,431.58,88.5,지역망,6N∅K,"강원 정선군 병방치길 376-30, 병방산",
37.3634603,128.6347732,강원도,병방산,144.64,0,144.64,88.5,지역망,6N∅K,"강원 정선군 병방치길 376-30, 병방산",
37.3634603,128.6347732,강원도,병방산,431.64,0,431.64,88.5,지역망,6N∅K,"강원 정선군 병방치길 376-30, 병방산",
37.2961111,127.9586111,강원도,백운산중계소,434.04,5,439.04,88.5,본부망,DS∅AX,"강원 원주시 판부면 신촌리 산80, 백운산중계소",
37.2961111,127.9586111,강원도,백운산중계소,433.8,5,438.8,88.5,유무선망,HL∅WHQ,"강원 원주시 판부면 신촌리 산80, 백운산중계소",
37.2961111,127.9586111,강원도,백운산중계소,145.12,0.6,145.72,88.5,광역망,HL∅WHQ,"강원 원주시 판부면 신촌리 산80, 백운산중계소",
37.5170718,128.0437636,강원도,국사봉,144.72,0,144.72,88.5,지역망,D7∅JA,"강원 횡성군 태기로 옥동4길 144-10, 국사봉",
37.5170718,128.0437636,강원도,국사봉,431.72,0,431.72,88.5,지역망,D7∅JA,"강원 횡성군 태기로 옥동4길 144-10, 국사봉",
37.713527,128.9986302,강원도,괘방산,144.74,0,144.74,88.5,지역망,HL∅XVY,"강원 강릉시 강동면 정동진리 산 19-1, 괘방산",
37.713527,128.9986302,강원도,괘방산,438.44,0,438.44,88.5,지역망,HL∅XVY,"강원 강릉시 강동면 정동진리 산 19-1, 괘방산",
38.3524382,128.4511078,강원도,고성산,144.92,0,144.92,88.5,지역망,고성산,"강원 고성군 간성읍 금수리 산117, 고성산",
38.3524382,128.4511078,강원도,고성산,433.18,0,433.18,88.5,지역망,고성산,"강원 고성군 간성읍 금수리 산117, 고성산",
38.4436181,128.4556551,강원도,거진등대,145.12,0,145.12,88.5,지역망,거진등대,"강원 고성군 거진읍 거진리, 거진등대",
38.4436181,128.4556551,강원도,거진등대,433.18,0,433.18,88.5,지역망,거진등대,"강원 고성군 거진읍 거진리, 거진등대",
37.3877887,127.9493676,강원도,강원도본부,433.8,5,438.8,88.5,유무선망,6N∅KW,"강원 원주시 북원로 2738번길 9, 강원본부내",
37.5114555,128.2186432,강원도,강원 횡성,434.88,5,439.88,88.5,광역망,태기산광역망,"강원 횡성군 둔내면 경강로 6013, 태기산",
37.6871367,128.7605707,강원도,강원 평창,439.84,-5,434.84,88.5,광역망,대관령광역망,"강원 평창군 대관련마루길 527-1, (산림청철탑)",
37.2020238,128.4904169,강원도,강원 영월,439.8,-5,434.8,88.5,광역망,봉래산광역망,"강원 영월군 영월읍 천문대길 397, 봉래산",
38.0753921,128.6191279,강원도,강원 양양,434.78,5,439.78,88.5,광역망,양양광역망,강원 양양군 현남면 상월천리 (양양군청철탑),
37.522135,129.0714347,강원도,강원 동해,434.9,5,439.9,88.5,광역망,동해광역망,"강원 동해시 용정동 28-4, 초록봉",
37.1793249,126.914038,경기도,팔탄면,144.74,0,144.74,88.5,지역망,DT∅HU,경기 화성시 팔탄면 기천리 612-3,
37.1793249,126.914038,경기도,팔탄면,431.74,0,431.74,88.5,지역망,DT∅HU,경기 화성시 팔탄면 기천리 612-3,
37.4564202,127.5729425,경기도,주읍산,145.7,0,145.7,88.5,지역망,6M∅HW,경기 양평군 용문면 삼성리 산 142-1 추읍산 정산(583M),
37.4564202,127.5729425,경기도,주읍산,439.02,0,439.02,88.5,지역망,6M∅HW,경기 양평군 용문면 삼성리 산 142-1 추읍산 정산(583M),
37.7978915,126.7635673,경기도,월롱산,438.42,-5,433.42,88.5,지역망,6K∅IA,"경기 파주시 월롱면 덕은리 산147-1, 월롱산. ", 138.420 수신 145..420 송신 크로스밴드
37.7978915,126.7635673,경기도,월롱산,145.42,0,145.42,88.5,지역망,6K∅IA,"경기 파주시 월롱면 덕은리 산147-1, 월롱산. ", 138.420 수신 145..420 송신 크로스밴드
37.9042588,126.8838963,경기도,웅담리,439.58,-5,434.58,88.5,지역망,DS∅KBD,경기 파주시 법원읍 웅담리 산84,
37.3933819,126.910262,경기도,수리산,439.56,-5,434.56,88.5,지역망,DS∅HW,"경기 안양시 만안구 산114, 수리산",
37.3933819,126.910262,경기도,수리산,144.56,0,144.56,156.7,지역망,DS∅HW,"경기 안양시 만안구 산114, 수리산",
37.4245026,127.2689372,경기도,송정동,144.12,0,144.12,88.5,지역망,DS∅KAN,경기 광주시 송정동 산8,
37.4245026,127.2689372,경기도,송정동,434.12,0,434.12,88.5,지역망,DS∅KAN,경기 광주시 송정동 산8,
37.6592511,126.8325586,경기도,세인빌라,433.86,0,433.86,88.5,유무선망,DS∅KBY,"경기 고양시 원당로59번길 42, 나동 202호",
37.6978014,126.7935107,경기도,성석동,145.74,0,145.74,88.5,유무선망,D7∅IJ,경기 고양시 일산구 성석동 산74-1,145.740 송신 439.760 수신 크로스밴드
37.6978014,126.7935107,경기도,성석동,439.76,0,439.76,88.5,유무선망,D7∅IJ,경기 고양시 일산구 성석동 산74-2,145.740 송신 439.760 수신 크로스밴드
37.4304435,127.1372635,경기도,성남실내체육관,144,0,144,88.5,지역망,D7∅HB,경기 성남시 중원구 성남실내체육관 51동 2-2호,
37.4304435,127.1372635,경기도,성남실내체육관,439.46,-5,434.46,88.5,지역망,D7∅HB,경기 성남시 중원구 성남실내체육관 51동 2-2호,
37.0684127,127.0671765,경기도,서정동,144.78,0,144.78,88.5,지역망,DS∅IK,경기 평택시 서정동 산9-1,
37.0684127,127.0671765,경기도,서정동,439.86,0,439.86,88.5,지역망,DS∅IK,경기 평택시 서정동 산9-1,
37.0684127,127.0671765,경기도,서정동,433.94,5,438.94,88.5,지역망,DS∅KBM,경기 평택시 서정동 산9-1,
37.4355672,126.9388092,경기도,서울본부,439.6,-5,434.6,88.5,지역망,HL∅FHQ,경기 안양시 만안구 석수동 산 10-1,
37.4355672,126.9388092,경기도,서울본부,145.44,-0.6,144.84,88.5,지역망,HL∅FHQ,경기 안양시 만안구 석수동 산 10-1,
